Dish,Indian,Mexican,Chinese,American,Mediterranean,Japanese,Thai,Italian
Basmati,2,0,0,0,0,0,0,0
Miso,0,0,0,0,0,20,0,0
Sizzling,0,0,1,0,0,0,0,0
Thin,0,0,0,0,0,0,0,1
Friends,0,0,0,1,0,0,0,0
Pistachios,1,0,0,0,1,0,0,0
Planked,0,0,0,1,0,0,0,0
Michaels,0,0,0,0,0,0,0,1
Shrimps,0,0,0,0,1,0,0,0
Teenas,0,0,0,0,0,0,0,1
Powder,1,0,0,0,0,0,0,0
Wing,0,0,0,2,0,0,1,0
Lima,0,1,0,0,1,0,0,0
Healing,0,0,0,1,0,0,0,0
Bisque,0,0,0,1,0,0,0,0
Fords,0,0,0,1,0,0,0,0
Minnesotas,0,0,0,1,0,0,0,0
Romanian,0,0,0,0,1,0,0,0
LassiComeHome,1,0,0,0,0,0,0,0
Bobs,0,1,0,0,0,1,1,2
ChickenRotisserie,0,0,0,1,0,0,0,0
Taqueria,0,1,0,0,0,0,0,0
Butterflied,0,0,1,0,0,0,0,0
Silken,1,0,0,0,0,0,0,0
Kendras,0,0,0,1,0,0,0,0
Decker,0,1,0,0,0,0,0,0
Dahl,3,0,0,0,0,0,0,0
California,0,0,0,5,0,1,0,2
Kabab,1,0,0,0,0,0,0,0
Kebab,2,0,0,0,0,0,0,0
Foccacia,0,0,0,0,0,0,0,1
MisoGlazed,0,0,0,0,0,1,0,0
Flan,0,3,0,0,0,0,0,0
Louis,0,0,0,1,0,0,0,0
Paste,2,0,1,0,0,1,5,0
Mexican,0,81,0,2,0,0,0,0
Jens,0,1,0,0,0,0,0,0
VeracruzStyle,0,1,0,0,0,0,0,0
Tapioca,0,0,1,0,0,0,3,0
RaisinTomato,0,0,0,0,1,0,0,0
UpsideDown,0,0,0,3,0,0,0,0
Potatoes,15,1,0,8,4,0,1,2
Baby,0,0,3,2,1,1,2,1
DashiSoupStock,0,0,0,0,0,1,0,0
Tortillas,0,6,0,1,0,0,0,0
Harira,0,0,0,0,1,0,0,0
Old,0,0,0,3,0,0,0,0
Turkey,1,8,1,6,0,0,0,7
Dahi,2,0,0,0,0,0,0,0
See,0,0,0,0,0,0,1,0
Herbs,0,0,0,0,1,0,0,0
